library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
IQRX	0.9864176570458404	0.001697792869269949	0.0	0.010186757215619695	0.001697792869269949	0.0	Blue	0.9864176570458404	589
IQRY	0.7320317266625992	0.0	0.00012202562538133008	0.005613178767541183	0.2563758389261745	0.005857230018303843	Blue	0.7320317266625992	8195
IQRZ	0.9696551724137931	0.0	0.0	0.030344827586206897	0.0	0.0	Blue	0.9696551724137931	725
IQSA	0.9925544100801833	0.0	0.0	0.0074455899198167235	0.0	0.0	Blue	0.9925544100801833	5238
IQSB	0.975140712945591	0.0	0.0	0.024859287054409006	0.0	0.0	Blue	0.975140712945591	2132
IQSC	0.9936863543788187	0.0	0.0	0.006313645621181262	0.0	0.0	Blue	0.9936863543788187	4910
IQSD	0.992717643164515	0.003972194637537239	0.0	0.00033101621979476995	0.0029791459781529296	0.0	Blue	0.992717643164515	3021
IQSE	0.06529093369418133	0.0	0.0	0.008457374830852503	0.9262516914749662	0.0	Orange	0.9262516914749662	2956
IQSF	0.5697478991596638	0.0	0.0	0.031932773109243695	0.3983193277310924	0.0	Blue	0.5697478991596638	1785
IQSG	0.36639676113360325	0.0	0.0	0.5526315789473685	0.08097165991902834	0.0	Green	0.5526315789473685	4446
IQSH	0.5158850226928896	0.0	0.0	0.031013615733736764	0.45310136157337366	0.0	Blue	0.5158850226928896	1322
IQSI	0.37327086122266845	0.0	0.0	0.5461847389558233	0.08054439982150825	0.0	Green	0.5461847389558233	4482
IQSJ	0.9678953626634959	0.0	0.0	0.030915576694411414	0.0011890606420927466	0.0	Blue	0.9678953626634959	841
IQSK	0.9982847341337907	0.0	0.0	0.0	0.0	0.0017152658662092624	Blue	0.9982847341337907	1166
IQSL	0.9416666666666667	0.0	0.0	0.035	0.018333333333333333	0.005	Blue	0.9416666666666667	1200
IQSM	0.9069130732375086	0.0	0.0	0.054072553045859	0.03764544832306639	0.0013689253935660506	Blue	0.9069130732375086	1461
IQSN	0.03108059269967474	0.0	0.0	0.014817491868449585	0.9541019154318757	0.0	Orange	0.9541019154318757	2767
IQSP	0.2590909090909091	0.0	0.0	0.08181818181818182	0.2318181818181818	0.42727272727272725	Purple	0.42727272727272725	220
IQSQ	0.8669767441860465	0.0	0.0	0.06697674418604652	0.06604651162790698	0.0	Blue	0.8669767441860465	1075
IQSR	0.8914473684210527	0.0	0.0	0.08717105263157894	0.02138157894736842	0.0	Blue	0.8914473684210527	608
IQSS	0.9909306845173829	0.0	0.0	0.009069315482617146	0.0	0.0	Blue	0.9909306845173829	4631
IQST	0.002308707124010554	0.00016490765171503957	0.0	0.002968337730870712	0.9945580474934037	0.0	Orange	0.9945580474934037	6064
IQSU	0.18600682593856654	0.7252559726962458	0.0	0.08873720136518772	0.0	0.0	Cyan	0.7252559726962458	586
IQSW	0.10919540229885058	0.814176245210728	0.0	0.07662835249042145	0.0	0.0	Cyan	0.814176245210728	522
IQSX	0.9649122807017544	0.02418207681365576	0.0	0.003319108582266477	0.007586533902323376	0.0	Blue	0.9649122807017544	2109
IQSY	0.9553759662684469	0.005270555165144062	0.0	0.02477160927617709	0.014581869290231905	0.0	Blue	0.9553759662684469	5692
IQSZ	0.9802449624654287	0.0019755037534571317	0.0	0.009679968391939945	0.00809956538917424	0.0	Blue	0.9802449624654287	5062
IQTB	0.000690846286701209	0.0	0.0	0.0051813471502590676	0.9934369602763385	0.000690846286701209	Orange	0.9934369602763385	2895
IQTC	0.26759565422768067	0.08360888049126122	0.0	0.6367501180916391	0.012045347189418989	0.0	Green	0.6367501180916391	4234
IQTD	0.24173605854150895	0.0873075952561191	0.0	0.669694675750694	0.0012616704516780217	0.0	Green	0.669694675750694	3963
